cod_municipio,ExpecVida,PopResid,idoso,mulher,nascimentopercapta,casado,evangelico,deficiente,desindadepop,geladeira,moradorfavela,pavimentacao,brancos,nvelsuperiorconcludo,conclusoensinomdio,ResideMenos10anos,resideoutranacionalid,taxadedesemprego,taxatrabinfantil,horastrabalho,Gini,CobBFamilia,traboutrmun
1100015,70.75,24392,8.79,48.11,16.7,38.63,26.9,23.88,3.45,90.67,0.09,0.16,42.43,5.5,13.77,6.51,0.0,2.99,11.29,32.9,0.59,83.52,2.3
1100023,73.36,90353,6.67,49.59,18.05,30.13,33.67,21.6,20.41,94.62,0.1,0.63,37.14,8.16,23.42,9.19,0.12,3.23,10.16,32.75,0.55,94.89,3.93
1100031,70.39,6313,10.09,48.27,15.06,43.9,28.56,23.77,4.8,93.68,0.0,0.24,46.7,4.93,15.49,7.05,0.05,1.58,12.97,21.72,0.52,71.4,3.48
1100049,74.27,78574,8.1,50.21,15.74,42.25,39.04,25.34,20.72,97.23,0.03,0.33,43.26,8.74,19.4,7.94,0.05,3.95,14.09,25.56,0.59,57.72,2.57
1100056,72.94,17029,9.97,49.79,14.13,41.66,29.89,24.97,6.12,97.31,0.0,0.14,45.85,7.01,17.0,12.47,0.11,3.51,12.92,36.64,0.51,69.96,5.44
1100064,73.81,18591,10.74,49.81,13.72,43.09,28.22,25.88,12.81,96.16,0.13,0.2,41.29,7.91,15.48,7.85,0.16,3.97,12.15,24.39,0.52,82.59,3.03
1100072,71.45,8783,8.4,46.36,12.84,41.58,23.74,21.58,2.87,91.44,0.0,0.09,37.64,4.62,8.52,7.61,0.06,2.15,19.1,19.29,0.49,83.05,1.36
1100080,70.04,13678,6.37,47.35,18.73,27.28,30.35,26.82,2.74,79.58,0.15,0.06,32.13,5.03,15.02,6.95,1.58,3.13,18.22,24.91,0.52,53.97,0.39
1100098,74.15,28729,8.05,49.16,17.57,36.69,41.18,22.54,6.36,94.14,0.03,0.28,45.56,5.74,12.56,8.22,0.03,3.13,23.06,30.0,0.54,59.53,2.86
1100106,74.39,41656,7.26,49.71,22.08,21.37,30.3,20.76,1.68,88.74,0.0,0.31,21.41,7.23,23.94,5.95,2.27,4.11,5.69,19.87,0.56,86.02,4.63
1100114,74.51,52005,7.98,50.0,16.47,39.47,38.66,19.02,17.66,96.93,0.39,0.22,32.87,6.97,17.15,6.78,0.05,3.34,13.83,24.73,0.51,43.6,2.46
1100122,73.6,116610,7.57,50.41,16.81,36.39,39.21,22.39,16.91,97.43,0.13,0.24,39.62,8.77,25.34,8.89,0.09,3.89,11.91,26.78,0.54,56.71,3.19
1100130,70.32,31135,6.78,46.89,17.57,33.83,33.59,23.72,3.66,81.61,0.47,0.22,32.0,3.73,10.16,7.95,0.0,2.45,17.06,25.14,0.56,54.35,2.03
1100148,70.75,19874,8.67,47.95,15.12,42.3,33.7,20.8,17.2,90.62,0.0,0.12,41.39,4.78,13.95,4.6,0.15,2.37,25.52,22.98,0.57,62.08,1.77
1100155,73.72,37928,8.91,50.7,17.19,37.24,35.98,24.71,19.25,97.42,0.0,0.27,36.8,6.23,17.75,7.96,0.0,5.13,12.47,26.53,0.49,76.41,3.54
1100189,73.15,33822,7.71,49.62,16.93,33.9,34.34,24.33,5.42,96.47,0.09,0.32,39.92,8.1,20.54,10.09,0.05,3.88,13.42,31.0,0.55,49.47,4.75
1100205,74.14,428527,5.69,49.22,19.89,26.21,32.34,21.56,12.57,94.67,0.51,0.43,29.02,12.38,31.26,13.45,0.16,3.85,9.28,25.02,0.57,33.39,0.96
1100254,72.51,22319,10.38,49.33,10.78,42.68,32.6,23.32,12.69,97.47,0.04,0.26,38.92,5.07,14.39,6.44,0.0,3.55,19.22,27.24,0.53,38.19,4.29
1100262,73.77,3316,9.29,46.71,13.08,37.83,36.44,20.55,1.93,88.19,0.68,0.18,42.19,3.59,16.18,8.29,0.12,3.88,9.14,13.91,0.58,78.65,3.82
1100288,73.46,50648,8.37,50.3,16.77,37.89,33.23,22.28,34.74,98.18,0.0,0.25,40.86,8.51,19.79,9.87,0.07,4.33,11.71,25.62,0.54,85.56,3.42
1100296,73.73,8886,9.71,48.28,12.92,42.17,29.79,21.18,7.42,97.63,0.0,0.11,37.87,5.43,14.9,6.3,0.05,5.45,22.15,26.09,0.5,56.67,6.17
1100304,73.49,76202,7.07,50.42,18.22,33.6,36.01,19.31,6.62,96.33,0.33,0.3,45.48,10.64,24.91,18.1,0.18,5.07,12.49,30.2,0.51,48.8,3.04
1100320,71.87,21828,7.03,48.1,14.96,42.81,31.64,24.21,2.73,89.66,0.05,0.08,38.57,3.87,13.01,6.7,0.0,2.32,19.56,24.33,0.63,66.68,0.69
1100338,71.15,22546,5.82,47.95,16.64,33.0,35.07,20.51,2.24,84.73,0.0,0.09,28.0,3.49,10.12,9.33,0.5,2.44,19.31,25.2,0.54,62.55,3.54
1100346,70.75,16853,8.94,48.51,12.61,41.94,31.16,22.75,5.56,94.56,0.0,0.14,36.77,5.45,13.75,5.12,0.07,3.11,15.69,33.46,0.54,53.06,1.82
1100379,71.64,12816,7.56,47.42,15.31,38.37,27.86,20.02,3.24,85.4,0.03,0.09,36.73,3.14,9.04,6.34,0.09,3.65,27.0,20.71,0.55,74.65,2.53
1100403,73.22,17135,7.79,47.35,15.23,33.61,26.52,25.03,6.46,90.08,0.28,0.08,36.74,2.98,10.5,7.97,0.03,1.79,25.47,24.27,0.54,69.6,1.73
1100452,70.08,32383,6.11,48.3,19.72,40.94,39.44,20.0,9.92,88.45,0.12,0.07,37.08,4.03,14.21,12.67,0.13,3.68,26.61,30.75,0.5,50.14,2.53
1100502,72.92,10240,9.71,47.89,12.51,46.19,34.07,17.39,12.14,94.31,0.19,0.07,41.36,4.25,12.32,5.01,0.06,2.53,18.96,14.96,0.52,70.75,3.84
1100601,73.08,5736,8.89,48.31,13.05,37.85,28.01,23.18,2.92,89.07,0.0,0.08,32.85,3.59,10.6,8.86,0.0,2.66,17.56,31.09,0.56,61.54,1.71
1100700,71.34,12665,5.66,46.56,13.96,38.46,36.69,18.17,3.68,77.8,0.0,0.03,33.21,2.95,7.53,8.26,0.03,1.71,17.34,27.49,0.67,52.08,2.43
1100809,74.11,19779,6.85,47.82,19.8,28.27,31.33,21.26,2.89,87.05,0.0,0.3,24.45,3.94,19.72,9.5,0.0,2.82,11.49,37.31,0.48,22.89,28.8
1100908,73.15,3575,11.44,48.84,12.94,40.35,22.44,28.17,4.0,93.37,0.0,0.12,39.55,4.06,12.68,8.59,0.0,2.1,22.61,17.28,0.5,35.57,4.7
1100924,74.21,8301,5.75,46.81,14.14,33.2,27.45,23.23,1.62,87.28,0.25,0.07,32.67,5.07,11.65,13.03,0.11,2.33,20.79,40.64,0.48,38.55,1.41
1100940,72.33,15854,4.88,46.66,13.02,30.63,30.61,19.28,4.1,86.57,0.07,0.09,30.56,2.22,11.51,11.98,0.0,4.04,17.83,34.51,0.52,83.65,1.04
1101005,70.71,10512,8.99,47.96,14.35,41.75,27.64,18.94,2.07,88.77,0.0,0.07,33.35,2.93,7.53,5.57,0.0,1.29,19.61,12.83,0.56,33.42,1.66
1101104,70.08,8566,7.66,46.71,14.37,26.94,39.06,29.66,2.1,89.92,1.02,0.01,26.59,4.03,13.09,10.72,0.0,3.56,20.84,33.74,0.48,67.37,6.36
1101203,71.55,10352,8.4,48.76,11.66,46.03,33.81,19.17,12.97,94.86,0.04,0.19,44.74,3.85,13.22,5.97,0.0,1.34,15.23,17.56,0.56,73.78,3.01
1101302,72.99,11878,9.46,49.07,15.43,38.88,34.1,24.84,9.97,93.28,0.0,0.08,38.66,4.12,9.53,7.74,0.03,4.21,23.7,25.42,0.61,52.34,3.37
1101401,70.71,14091,8.07,47.43,16.49,38.9,34.33,23.45,7.3,92.72,0.0,0.14,33.66,5.08,9.92,9.24,0.0,1.9,24.27,16.28,0.48,82.61,3.11
1101435,70.17,7493,8.1,46.63,13.29,39.53,31.79,16.87,9.28,92.31,0.0,0.09,34.19,2.85,8.94,5.41,0.08,2.62,31.52,13.75,0.47,60.89,2.82
1101450,73.0,4810,7.09,46.05,14.25,37.03,24.99,15.97,1.89,79.43,0.44,0.02,45.09,4.81,10.12,6.92,0.0,1.11,15.74,34.67,0.53,63.49,2.11
1101468,73.98,2315,8.21,47.39,18.92,29.25,22.31,21.01,0.38,84.11,0.52,0.1,35.81,5.96,17.44,10.02,0.75,4.43,9.97,30.14,0.5,64.36,1.09
1101476,72.94,3524,10.07,47.33,12.79,42.65,19.8,28.41,5.82,91.69,0.0,0.21,44.41,3.03,10.76,8.06,0.0,3.83,13.46,22.44,0.52,86.58,10.93
1101484,71.78,6018,10.68,48.72,12.34,48.14,27.62,26.46,11.11,97.66,0.0,0.08,41.81,4.42,12.81,6.35,0.0,2.94,13.3,22.41,0.47,68.36,7.96
