cod;nome;pop
1600055;Serra do Navio (AP);4673
1600105;Amapá (AP);7943
1600154;Pedra Branca do Amapari (AP);12847
1600204;Calçoene (AP);10612
1600212;Cutias (AP);4461
1600238;Ferreira Gomes (AP);6666
1600253;Itaubal (AP);5599
1600279;Laranjal do Jari (AP);35114
1600303;Macapá (AP);442933
1600402;Mazagão (AP);21924
1600501;Oiapoque (AP);27482
1600535;Porto Grande (AP);17848
1600550;Pracuúba (AP);3803
1600600;Santana (AP);107618
1600709;Tartarugalzinho (AP);12945
1600808;Vitória do Jari (AP);11291
